//************************************************
// File Format Version 3.2
// Janus Release 3.2.3
// Acquisition Mode: Spectroscopy
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Wed Oct 15 18:38:55 2025 UTC
// Run info format:
// Detector Run Date LocalTime Location DetectorPositionXYZ Theta Phi PlaneSeparation MinADC
//************************************************
COMMENTS: 
ATHAB 116 15OCT2025 18:38:55 Pyramid 3.0 25.0 0.8 0.0 0.0 0.86 100 
		Tstamp_us	   TrgID	     Brd	      Ch	      LG	      HG
		        	        	      03	      10	    2501	    8046
		368915.912	      38	      00	      19	     536	    2402
		368915.880	      38	      04	      23	     284	       2
		375159.264	      39	      00	      12	    2430	    8032
		375159.264	      39	      02	      11	    2058	    7974
		        	        	      02	      12	     934	    3319
		375159.288	      39	      01	      46	    1255	    5501
		        	        	      01	      47	    2189	    8077
		375159.248	      39	      03	      30	     298	     618
		        	        	      03	      31	     372	     784
		        	        	      03	      32	    1626	    5053
		        	        	      03	      33	     862	    2204
		392900.640	      40	      00	      14	    1974	    8136
		        	        	      00	      15	     666	    2775
		392900.648	      40	      02	      23	    2143	    7765
		392900.656	      40	      01	      44	     969	    4345
		        	        	      01	      45	    1976	    8038
		        	        	      01	      46	      92	     409
		392900.624	      40	      03	      41	    1372	    3933
		        	        	      03	      42	    2101	    7002
		        	        	      03	      43	     135	     351
		392900.592	      40	      05	      47	     992	     325
		417348.936	      41	      00	      11	      90	     342
		        	        	      00	      12	    1882	    8032
		        	        	      00	      14	    2303	    8136
		        	        	      00	      15	     782	    3422
		417348.936	      41	      02	      20	     140	     343
		        	        	      02	      21	    1981	    7601
		        	        	      02	      22	     133	     464
		417348.904	      41	      04	      07	    3826	    8060
		        	        	      04	      08	     182	     152
		417348.952	      41	      01	      33	     143	     657
		        	        	      01	      34	    2256	    8006
		        	        	      01	      35	    1425	    6251
		        	        	      01	      36	    2097	    7991
		        	        	      01	      37	     201	     951
		417348.920	      41	      03	      26	    1537	    4855
		        	        	      03	      27	    1620	    5200
		        	        	      03	      28	    1973	    6681
		        	        	      03	      29	     429	    1185
		        	        	      03	      33	     215	     475
		417348.880	      41	      05	      42	    2370	    5626
		417795.248	      42	      00	      02	    1135	    5033
		        	        	      00	      03	    1096	    4773
		417795.248	      42	      02	      01	    2428	    8048
		        	        	      02	      02	     504	    1612
		417795.216	      42	      04	      04	    1634	    3315
		        	        	      04	      05	     587	       0
		417795.264	      42	      01	      24	    1309	    5753
		        	        	      01	      25	    1324	    5607
		417795.232	      42	      03	      16	    1356	    4193
		        	        	      03	      17	     771	    1880
		417795.192	      42	      05	      32	    1266	    1336
		        	        	      05	      33	    1153	    1075
		425252.712	      43	      00	      15	    1067	    4602
		        	        	      00	      16	    1654	    7199
		425252.720	      43	      02	      11	     724	    2430
		        	        	      02	      12	    1334	    4807
		425252.680	      43	      04	      20	    1518	    2683
		425252.728	      43	      01	      14	    1600	    6902
		        	        	      01	      15	     403	    1696
		425252.696	      43	      03	      14	    3384	    8114
		        	        	      03	      15	     145	     362
		425252.664	      43	      05	      14	    1533	    2248
		428360.416	      44	      00	      26	    2017	    8050
		428360.376	      44	      04	      23	    1139	    1277
		428360.432	      44	      01	      36	    1400	    6252
		428360.360	      44	      05	      32	     291	       0
		        	        	      05	      33	    1881	    4260
		464651.528	      45	      00	      14	     721	    3059
		471071.992	      46	      00	      02	    1243	    5372
		471071.976	      46	      03	      20	     415	    1121
		477976.072	      47	      00	      07	     310	    1312
		        	        	      00	      08	    2130	    8056
		477976.080	      47	      02	      11	    1332	    4756
		        	        	      02	      12	     490	    1543
		477976.040	      47	      04	      04	    1177	    1686
		        	        	      04	      05	     771	     416
		477976.088	      47	      01	      09	    1926	    8110
		477976.056	      47	      03	      04	     911	    3068
		        	        	      03	      05	    2078	    7517
		477976.024	      47	      05	      14	    1770	    3368
		486043.992	      48	      00	      08	    1133	    4896
		486043.992	      48	      02	      15	    2488	    8092
		        	        	      02	      16	     148	     424
		486043.960	      48	      04	      00	    2369	    5810
		486044.008	      48	      01	      18	    2694	    8097
		        	        	      01	      19	     967	    4183
		486043.976	      48	      03	      16	    1876	    6088
		490471.968	      49	      00	      19	     130	     487
		        	        	      00	      20	    1453	    6161
		490471.968	      49	      02	      18	     430	    1595
		        	        	      02	      19	    1933	    7071
		490471.936	      49	      04	      21	    1523	    2508
		        	        	      04	      22	     687	       0
		490471.984	      49	      01	      18	    1679	    7201
		        	        	      01	      19	     213	     951
		490471.952	      49	      03	      17	    1620	    5287
		490471.912	      49	      05	      18	     735	       0
		        	        	      05	      19	    1683	    2623
		492082.496	      50	      00	      26	     495	    2311
		        	        	      00	      27	     698	    3073
		492082.440	      50	      05	      46	     699	       0
		        	        	      05	      47	    1194	     628
		494026.672	      51	      00	      14	    2369	    8136
		494026.672	      51	      02	      11	    1083	    4207
		        	        	      02	      12	     797	    3005
		494026.640	      51	      04	      17	    1607	    2977
		        	        	      04	      18	     193	      12
		494026.688	      51	      01	      34	      90	     399
		        	        	      01	      35	    2738	    8023
		        	        	      01	      36	     460	    2079
		494026.656	      51	      03	      42	     164	     319
		        	        	      03	      43	    4000	    8076
		        	        	      03	      44	    2944	    8013
		        	        	      03	      45	    1908	    6106
		494026.624	      51	      05	      25	     405	       0
		        	        	      05	      26	    2280	    4423
		498612.488	      52	      00	      15	    1391	    6075
		        	        	      00	      16	    1315	    5660
		498612.496	      52	      02	      09	    1107	    3776
		        	        	      02	      10	    1111	    3588
		498612.448	      52	      04	      21	    1178	    1371
		        	        	      04	      22	    1030	     945
		498612.504	      52	      01	      16	    1838	    7603
		498612.472	      52	      03	      12	    1129	    3373
		        	        	      03	      13	    2366	    7552
		498612.432	      52	      05	      18	     952	      47
		        	        	      05	      19	    1567	    1987
		505524.616	      53	      00	      12	     286	    1280
		        	        	      00	      13	    1424	    6056
		505524.624	      53	      02	      14	     625	    1995
		        	        	      02	      15	     661	    2354
		505524.584	      53	      04	      11	     798	     257
		        	        	      04	      12	    1688	    3291
		505524.640	      53	      01	      43	     291	    1431
		        	        	      01	      44	    1217	    5376
		505524.600	      53	      03	      44	    2120	    6645
		505524.560	      53	      05	      43	    1751	    3306
		        	        	      05	      44	     178	       0
		507747.736	      54	      00	      11	     879	    3690
		507747.704	      54	      04	      12	     178	      37
		507747.688	      54	      05	      34	     271	       0
		534952.872	      55	      00	      00	     506	    2228
		534952.888	      55	      01	      35	      47	     302
		536600.920	      56	      00	      03	     679	    3001
		        	        	      00	      04	     261	    1102
		559959.752	      57	      00	      01	    1099	    4735
		        	        	      00	      02	      86	     331
		        	        	      00	      03	      71	     368
		569078.264	      58	      00	      04	    2216	    8050
		        	        	      00	      05	     837	    3583
		569078.264	      58	      02	      07	     675	    2469
		        	        	      02	      08	    1365	    5216
		569078.232	      58	      04	      01	    2025	    4520
		        	        	      04	      02	     271	      32
		569078.280	      58	      01	      30	     269	    1215
		        	        	      01	      31	    2013	    8065
		569078.248	      58	      03	      23	    2562	    8074
		569078.216	      58	      05	      38	     568	       0
		        	        	      05	      39	    1734	    3344
		576852.888	      59	      00	      15	     504	    2155
		577791.000	      60	      00	      03	     824	    3670
		577790.968	      60	      04	      00	    1463	    2444
		        	        	      04	      01	    1450	    2024
		577791.024	      60	      01	      02	    1666	    7306
		        	        	      01	      03	     498	    2253
		579527.640	      61	      00	      00	    1531	    6616
		579527.600	      61	      04	      01	    1065	    1286
