Run,Event,E1,px1 ,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
148862,1197709362,3.79486,-2.81255,-2.46521,-0.642842,3.74002,-0.171047,-2.42191,-1,30.2961,-18.8356,-4.97693,23.2013,19.4821,1.01014,-2.88327,1,11.37
148862,1198129130,13.5166,-8.57954,2.77814,10.0683,9.01812,0.961371,2.82844,-1,52.0622,-15.9577,2.77539,49.4785,16.1972,1.83562,2.96939,1,11.0378
148862,1197262175,29.6091,8.78335,21.2945,-18.6037,23.0348,-0.73862,1.17959,1,21.6199,8.67323,9.05485,-17.6127,12.5385,-1.1407,0.806921,-1,9.32607
148862,899075066,17.4814,-13.3395,-9.12324,-6.66511,16.1609,-0.401543,-2.54174,1,7.6401,-6.29279,-1.29116,4.13581,6.42388,0.606034,-2.93922,-1,11.4371
148862,596219146,16.0964,-0.0276013,-5.50168,15.127,5.50175,1.7361,-1.57581,1,124.428,-22.4609,-22.5509,120.289,31.8283,2.03975,-2.3542,1,10.8221
148862,599334811,3.7053,-0.789317,3.56638,-0.622211,3.65268,-0.16953,1.78861,-1,27.4928,-1.4654,7.46579,-26.4191,7.60825,-1.95812,1.76461,-1,10.7376
148862,600397833,20.1218,-17.5451,-2.14262,9.61597,17.6754,0.520243,-3.02007,1,9.58472,-8.94942,-2.81735,-1.9589,9.3824,-0.207297,-2.83661,-1,9.86346
148862,600748601,19.5317,7.14127,12.445,-13.2518,14.3484,-0.826285,1.04985,-1,16.0517,-0.684936,8.12904,-13.8241,8.15785,-1.29807,1.65486,1,8.25195
148862,603176547,7.10037,4.26298,0.606587,-5.64573,4.30592,-1.08523,0.141343,-1,17.6685,-4.91296,-0.78974,-16.9533,4.97603,-1.93985,-2.98221,-1,10.1155
146437,43290419,6.49005,-1.2031,5.57807,-3.09167,5.70634,-0.51828,1.78323,1,5.29384,1.42904,-4.7388,-1.87786,4.94958,-0.37084,-1.27791,-1,10.6493
146437,101554067,12.1636,2.15206,3.35996,-11.4905,3.99007,-1.77972,1.00113,1,16.5361,-2.02817,-5.2253,-15.5572,5.6051,-1.74497,-1.94104,1,9.41274
146437,48755118,22.5617,-1.82048,-7.59972,-21.165,7.81473,-1.72195,-1.80591,1,68.0363,-18.968,-9.66543,-64.6199,21.2886,-1.82959,-2.67032,-1,10.8944
