Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
TT,148031,124112566,6.03288979059,-0.647688030799,0.852445401688,-5.93619681166,1.07059,-2.41404,2.22054,-1,8.67840117084,-2.19403806567,2.41388503587,-8.04132073677,3.262,-1.63421,2.30852,-1,1.51880321326
GT,148031,124112566,6.03288979059,-0.647688030799,0.852445401688,-5.93619681166,1.07059,-2.41404,2.22054,-1,195.962881976,-51.0481218686,15.342588077,-188.573948873,53.3568,-1.97605,2.84963,-1,5.77573951149
GT,148031,124112566,6.03288979059,-0.647688030799,0.852445401688,-5.93619681166,1.07059,-2.41404,2.22054,-1,29.8751487927,23.6728578039,9.7326986826,-15.4072622955,25.6255,-0.570486,0.390047,1,13.8434197318
TT,148031,124112566,6.18369894754,-1.1188296969,1.22035428521,-5.95700633802,1.65561,-1.99232,2.31282,-1,196.161135191,-51.0987831832,15.3578144095,-188.765017123,53.3568,-1.97605,2.84963,-1,5.02500841669
TT,148031,124112566,6.18369894754,-1.1188296969,1.22035428521,-5.95700633802,1.65561,-1.99232,2.31282,-1,29.9099793495,23.7007991888,9.74363218006,-15.4249619367,25.6255,-0.570486,0.390047,1,14.6768763831
TT,148031,124112566,6.18369894754,-1.1188296969,1.22035428521,-5.95700633802,1.65561,-1.99232,2.31282,-1,8.67840117084,-2.19403806567,2.41388503587,-8.04132073677,3.262,-1.63421,2.30852,-1,0.863753889131
TT,148031,124112566,6.18369894754,-1.1188296969,1.22035428521,-5.95700633802,1.65561,-1.99232,2.31282,-1,6.03288979059,-0.647688030799,0.852445401688,-5.93619681166,1.07059,-2.41404,2.22054,-1,0.616178393606
GT,148031,124112566,6.18369894754,-1.1188296969,1.22035428521,-5.95700633802,1.65561,-1.99232,2.31282,-1,195.962881976,-51.0481218686,15.342588077,-188.573948873,53.3568,-1.97605,2.84963,-1,5.02252412224
GT,148031,124112566,6.18369894754,-1.1188296969,1.22035428521,-5.95700633802,1.65561,-1.99232,2.31282,-1,29.8751487927,23.6728578039,9.7326986826,-15.4072622955,25.6255,-0.570486,0.390047,1,14.66816188
TT,148031,124112566,6.91442070539,-1.26518538101,2.3430456777,-6.38024238603,2.66281,-1.60792,2.06591,-1,196.161135191,-51.0987831832,15.3578144095,-188.765017123,53.3568,-1.97605,2.84963,-1,10.134270675
