Run,Event,E,px,py,pz,pt,eta,phi,Q,MET,phiMET,Mt
146944,731889278,29.36,13.58,24.99,7.29,28.44,0.25,1.07,1,40.23,-2.15,67.59
146944,731865079,81.34,-71.42,-31.67,-22.64,78.13,-0.29,-2.72,1,22.53,-0.27,79.03
146944,731443616,86.15,18.62,-29.25,-78.87,34.67,-1.56,-1.00,1,43.98,2.24,78.00
146944,732103792,104.86,26.12,1.00,101.55,26.14,2.07,0.04,-1,30.40,3.09,56.33
146944,732964874,26.34,-25.88,-3.96,2.87,26.18,0.11,-2.99,-1,40.12,-0.97,54.93
146944,732611988,59.87,-28.74,14.82,50.39,32.33,1.23,2.67,1,35.32,-0.61,67.44
146944,733093196,114.36,35.70,4.64,-108.55,36.00,-1.82,0.13,1,37.07,-3.08,73.02
146944,732493943,51.03,31.26,-23.19,-33.01,38.92,-0.77,-0.64,1,44.36,2.53,83.10
146944,733127816,44.05,-28.47,-13.49,30.79,31.50,0.87,-2.70,1,38.73,0.49,69.84
146944,732907897,97.05,27.74,-28.90,88.39,40.06,1.53,-0.81,1,38.67,2.58,78.13
146944,734121651,51.50,-27.89,30.11,31.11,41.04,0.70,2.32,1,38.51,-0.76,79.48
146944,733704244,26.80,21.87,-13.69,7.24,25.80,0.28,-0.56,1,62.09,2.38,79.64
146944,734257189,36.04,17.46,-30.08,-9.45,34.78,-0.27,-1.04,-1,24.98,2.17,58.91
146944,734564296,76.97,-31.24,46.06,53.17,55.65,0.85,2.17,-1,52.60,0.57,77.57
146944,734515193,79.54,-28.64,-22.69,-70.66,36.54,-1.41,-2.47,-1,35.03,0.65,71.55
146944,466688899,39.59,-32.60,-21.98,-4.62,39.31,-0.12,-2.55,-1,24.10,0.92,60.71
146944,467134677,35.21,26.20,-22.08,-8.12,34.26,-0.23,-0.70,-1,45.74,-2.77,68.10
146944,468033202,41.44,-22.26,28.32,-20.49,36.02,-0.54,2.24,1,47.40,-0.93,82.64
146944,468325195,100.64,13.46,31.27,94.71,34.04,1.75,1.16,-1,37.29,-2.53,68.54
146944,468193989,77.40,-29.28,-2.79,-71.59,29.41,-1.62,-3.05,-1,45.57,-0.15,72.65
146944,470431704,72.00,27.57,3.60,-66.42,27.80,-1.61,0.13,1,38.14,2.94,64.25
146944,470558776,61.90,7.40,27.37,55.03,28.35,1.42,1.31,1,27.09,-1.80,55.42
146944,470149595,156.71,-14.21,51.53,-147.31,53.45,-1.74,1.84,-1,42.50,-1.42,95.15
