Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
GSF-GSF,142036,26961203,125.33809931,18.1501786741,-12.8988912833,-123.344350321,22.2668,-2.41308,-0.617855,1,23.1792337413,-15.9661488672,13.4946395417,-10.0126754947,20.9051,-0.462313,2.43989,-1,65.3312863797
GSF-GSF,142036,42272149,144.011872815,33.9600866083,4.34486353799,139.88300179,34.2369,2.1153,0.127249,1,35.0568871143,-30.661543372,6.93165522329,15.5179653239,31.4353,0.475523,2.91926,-1,88.1936502238
GSF-GSF,142038,164612016,54.7571610693,-46.8992027947,1.97809757957,-28.1939460754,46.9409,-0.569362,3.09944,-1,57.0474339318,37.3138052962,-22.6350997473,-36.7388338369,43.6425,-0.764987,-0.545269,1,88.1215636066
GSF-GSF,142038,297928101,59.7525112409,-13.5190607642,-35.4934326442,46.1282325102,37.9809,1.02523,-1.93472,1,37.5551685444,15.7769683231,33.4155158328,-6.69934745284,36.9528,-0.180316,1.12968,-1,88.9085579879
GSF-GSF,142038,82604361,145.332177197,18.5014131837,38.9053619756,138.80026026,43.0805,1.88637,1.1269,1,202.952549927,-19.664597952,-40.3995706298,197.916436412,44.9313,2.1885,-2.02379,-1,88.9973689041
GSF-GSF,142038,72318268,134.302032123,-26.2475698975,30.8507488699,-128.048163598,40.5056,-1.86824,2.27575,1,106.083749051,25.3879431421,-31.215575931,-98.157027129,40.2363,-1.62453,-0.887992,-1,81.3367286167
GSF-GSF,142038,43735256,79.0730183911,42.978354441,-21.8413796631,62.6766098411,48.2098,1.0785,-0.470182,-1,44.0021642722,-39.7176014931,18.8587695221,-1.74625431358,43.9675,-0.0397065,2.69829,1,106.843174278
GSF-GSF,142038,290681524,40.2972021485,9.63202054282,-37.4630834624,-11.296285163,38.6815,-0.288034,-1.31914,1,74.4739811225,-23.7669725899,38.4902466626,-59.1608467631,45.2368,-1.0832,2.12397,-1,89.4838819931
GSF-GSF,142038,332966419,55.1020245208,20.3644053534,4.83495861965,-50.9720244427,20.9305,-1.62293,0.233106,-1,33.7370052372,-28.1451123596,-6.07082762266,17.5836066936,28.7924,0.577981,-2.92915,1,81.9482763385
GSF-GSF,142038,349281907,58.5733207367,40.9169465733,18.7304693804,-37.4940915582,45.0003,-0.758381,0.429295,-1,72.4156948016,-45.8406886032,-11.8341763273,-54.7961348307,47.3436,-0.988422,-2.88895,1,92.5679977711
GSF-GSF,142038,428894839,54.2239909749,13.7519149142,-29.3069269149,-43.4997708958,32.373,-1.10482,-1.13206,1,35.4018468566,-4.75841954234,26.6695232419,22.7900139119,27.0907,0.764555,1.74736,-1,86.6952012255
GSF-GSF,142038,68762127,32.6305038076,-5.69230434922,-30.8516636983,-8.97342168379,31.3724,-0.282266,-1.75325,1,50.1291341622,6.388485933,24.9686759057,42.9963087089,25.773,1.28462,1.32031,-1,75.2097508386
GSF-GSF,142038,302240048,87.1373447898,19.0103390452,27.3420966889,80.5228763445,33.3014,1.61634,0.963247,-1,42.0763748048,-7.21570128996,-38.2145286368,16.0625269623,38.8898,0.402103,-1.75742,1,84.3215390235
GSF-GSF,142038,335121260,40.2611995269,40.2236421262,-0.444674388086,-1.68079322764,40.2261,-0.0417715,-0.0110546,-1,50.4579256399,-48.5219786041,13.8425888025,-0.0508645992886,50.4579,-0.00100806,2.86369,1,89.3229787526
GSF-GSF,142040,129331820,45.3176931123,37.4213575966,-22.9742881637,-11.2034542782,43.911,-0.25245,-0.550603,1,44.2350721488,-32.9468212549,22.7639428572,18.7896642477,40.0461,0.453496,2.53698,-1,89.1183564907
GSF-GSF,142040,122095192,22.5691860375,-20.4783221763,3.21979422554,-8.92409122114,20.7299,-0.418197,2.98564,-1,82.0376219272,12.6646877456,51.2315244356,62.8100947263,52.7737,1.00967,1.32845,1,70.8017225204
GSF-GSF,142040,50417232,88.980456391,-31.293370227,5.3238171304,-83.1258297419,31.743,-1.69044,2.97308,1,44.9964943943,32.1318717802,-5.42007172845,-31.0298267136,32.5858,-0.847203,-0.167109,-1,70.1255808612
GSF-GSF,142040,136626175,32.196613667,6.43157403013,30.1518836482,9.28012388511,30.8302,0.296638,1.36064,-1,68.5951242122,-30.130626354,-39.4999715888,-47.2989287979,49.68,-0.847074,-2.22244,1,89.8026339732
GSF-GSF,142040,35404614,44.0006989372,-43.2175269188,-6.39836986912,-5.23141823432,43.6886,-0.119459,-2.99461,-1,30.7360295336,28.8864109513,4.67394466811,-9.4038829649,29.2621,-0.316078,0.160414,1,71.8542414488
GSF-GSF,142040,35721412,156.386094475,44.9006699136,17.3622351576,148.79211396,48.1406,1.84677,0.368972,-1,248.854859438,-15.9086048531,-44.5764974361,244.312490949,47.3302,2.3437,-1.91359,1,90.0435695672
GSF-GSF,142076,59861544,139.264035594,23.6696510139,36.5375369208,132.284646223,43.5344,1.83059,0.995957,-1,121.813100703,-23.1533448969,-39.3904604889,112.919200073,45.6912,1.63654,-2.10219,1,89.5987673674
GSF-GSF,142076,82208206,25.0543164165,-4.98090416962,24.4056126607,2.69730145652,24.9087,0.108077,1.77212,1,135.49429101,-0.750107224743,-26.4389613887,132.88762755,26.4496,2.31717,-1.59916,-1,85.7648143136
